OBJECTID,Bikeway Type,Status,On Street Name,From Street Name,To Street Name,Year Completed,District,Shape__Length
140,PBL,Complete,Commerce St,9th Ave N,2nd Ave N,2020,19,2540.150118714
141,SSR,Complete,James Robertson Pkwy/Rosa L Parks Blvd,Rosa L Parks Blvd,Church St,2010,19,2382.31251335693
142,SSR,Complete,James Robertson Pkwy,Rosa L Parks Blvd,S 5th St,2010,"05, 06, 19",7378.92452547752
143,BL,Complete,10th Ave N,Harrison St,Jo Johnston Ave,2011,19,690.222554445912
144,SSR,Complete,Harrison St,W of Rosa L Parks Blvd,Music City Bikeway,2011,19,1696.27473173848
145,SSR,Complete,Woodland St,Union St / 1st Ave N,I-24,2006,"06, 19",3215.70566581057
146,SSR,Complete,Woodland St,I-24,S 5th St,2006,06,898.967079464544
147,SSR,Complete,S 1st St,Woodland St,Russell St,2006,06,431.340196937745
148,SSR,Complete,Union St,3rd Ave N,1st Ave N,2006,19,687.459941860466
149,BBL,Complete,Church St,George L Davis Blvd,9th Ave N,2014,19,2094.38058238021
150,SSR,Complete,Church St,15th Ave N,George L Davis Blvd,2014,19,697.941643232426
151,SSR,Complete,Church St,21st Ave N,15th Ave N,2010,"19, 21",3475.03660388589
152,SSR,Complete,Natchez Trc,West End Ave,Blakemore Blvd,2015,"18, 21",2793.29576104238
153,SSR,Complete,Charlotte Ave,15th Ave N,George L Davis Blvd,2011,19,913.584367526065
154,BL,Complete,16th Ave N,Jo Johnston Ave,Capitol Pt,2011,19,751.932594005232
155,BL,Complete,Charlotte Ave,26th Ave N,16th Ave N,2011,"19, 21",6008.91879048688
156,SSR,Complete,Dr Db Todd Jr Blvd,Jo Johnston Ave,Charlotte Ave,2005,"19, 21",1085.67124095479
157,PBL,Complete,Dr Db Todd Jr Blvd,Jo Johnston Ave,Morena St,2021,"19, 21",1954.02683134176
158,PBL,Complete,Dr Db Todd Jr Blvd,Albion St,Meharry Blvd,2021,19,789.635584704625
159,PBL,Complete,Dr Db Todd Jr Blvd,Meharry Blvd,Buchanan St,2021,"19, 21",4498.72689320105
160,PBL,Complete,Dr Db Todd Jr Blvd,Clarksville Pk / Clay St,Buchanan St,2024,"02, 21",1002.31020903364
161,SSR,Complete,Jefferson St,Rosa L Parks Blvd,5th Ave N,2008,19,1237.6025382621
162,SSR,Complete,Jefferson St,12th Ave N,Rosa Parks Blvd,2008,19,2414.37572074357
163,SSR,Complete,Rosa L Parks Blvd,I-65,Jefferson St,2007,19,4221.24565644749
164,SSR,Complete,Rosa L Parks Blvd,Dominican Dr,I-65,2007,"02, 19, 21",1617.88671540821
165,BL,Complete,3rd Ave N,Garfield St,Van Buren St,2013,19,1094.33169114302
166,SSR,Complete,3rd Ave N,I-65,Garfield St,2011,19,2110.917994206
167,SSR,Complete,Dominican Dr,Rosa L Parks Blvd,I-65,2011,"02, 19, 21",1292.69444057783
168,PBL,Complete,Buchanan/Garfield St,23rd Ave N,7th Ave N,2021,"19, 21",6407.21672773364
169,SSR,Complete,Clarksville Pike,County Hospital Rd,Rosa L Parks Blvd,2010,"02, 21",3814.12555511087
170,SSR,Complete,Jefferson St,Jefferson St,12th Ave N,2008,"19, 21",4437.66361842155
171,SSR,Complete,Jefferson St,I-40,Jefferson St,2008,21,236.255243689928
172,SSR,Complete,Jefferson St,Ed Temple Blvd,I-40,2008,21,1852.83542258207
173,PBL,Complete,31st Ave N,Park Plz,Pathenon Ave,2024,21,2533.2430238362
174,BL,Complete,Rosa L Parks Blvd,Clarksville Pike,Dominican Dr,2010,02,8915.84111914259
175,SSR,Completed,Great Circle Rd,Vantage Way,Dead End,2024,02,1929.19853138649
176,SSR,Complete,Great Circle Rd,Rosa L Parks Blvd,Vantage Way,2006,02,8668.99447200551
177,SSR,Complete,Athens Way,Great Circle Rd,Rosa L Parks Blvd,2006,02,2471.09959914618
178,BL,Complete,39th Ave N,John L Driver Ave,Clare Ave,2015,21,1676.29086171481
179,SSR,Complete,39th Ave N,Dr Walter S Davis Blvd,John L Driver Ave,2015,21,305.899744478833
180,WOL,Complete,Dr Walter S Davis Blvd,39th Ave N,Ed Temple Blvd,2010,21,5162.57970370672
181,WOL,Complete,Dr Walter S Davis Blvd,44th Ave N,39th Ave N,2007,21,1653.81549348943
182,BL,Complete,Charlotte Ave,33rd Ave N,31st Ave N/City Ave,2021,"21, 24",823.370037573002
183,SSR,Complete,Centennial Blvd,51st Ave,44th Ave N,2008,"20, 21",2847.85880284779
184,PBL,Complete,51st Ave N,Centennial Blvd,Charlotte Ave,2017,"20, 24",3760.67593327244
185,SSR,Complete,Nebraska Ave,51st Ave N,48th Ave N,2004,24,1134.21252791448
186,BBL,Complete,51st Ave N,Charlotte Ave,Wyoming Ave,2016,24,3214.48319116837
187,SSR,Complete,Wyoming Ave,Golf Course,46th Ave N,2004,24,2261.28094023733
188,BL,Complete,Murphy Rd,Bowling Ave,I-440,2015,"18, 21, 24",2304.08593463196
189,BL,Complete,Elmington Ave,West End Ave,Richardson Ave,2013,"18, 24",1017.6522718489
190,BL,Complete,Woodmont Blvd,Harding Pike,Lynnbrook Rd,2006,"24, 25",6408.60621563992
191,BBL,Complete,Charlotte Ave,50th Ave N,46th Ave N,2021,24,1475.5981071652
192,SSR,Complete,Charlotte Pike,Westboro Dr,54th Ave N,2006,"20, 24",3027.40029942852
193,WOL,Complete,Sloan Rd,Murphy Rd,Richland Creek Greenway,2005,24,1834.2664237218
194,BL,Complete,Cherokee Rd,Richland Creek Greenway,West End Ave,2012,24,2638.98134246796
195,SSR,Complete,Lion's Head Shopping Center,Richland Creek Greenway,White Bridge,2012,24,1916.60807263664
196,BL,Complete,Charlotte Pike,Annex Ave / Hillwood Blvd,Westboro Dr,2015,20,3881.79457843988
197,BL,Complete,Annex Ave,Mall Entrance,Charlotte Pike,2012,20,993.500605615574
198,SSR,Complete,Annex Ave,Cleeces Ferry Rd,I-40,2012,20,1589.84740350397
199,SSR,Complete,Annex Ave,American Rd,Cleeces Ferry Rd,2012,20,4020.93121352474
200,BL,Complete,Charlotte Pike,I-40,Summerly Dr,2015,"20, 23",5036.07932246625
201,BL,Complete,Charlotte Pike,Summerly Dr,Annex Ave / Hillwood Dr,2015,"20, 23",1207.2493094308
202,SSR,Complete,Cabot Dr,Annex Ave,Charlotte Pike,2012,"20, 35",6498.44972455674
203,BL,Complete,Post Rd,White Bridge Pike,Old Harding Pike,2012,"23, 24",10669.3017626013
204,SSR,Complete,Old Harding Pike,Post Rd,Harding Pike,2012,23,3037.95262462708
205,BL,Complete,Hillsboro Pike,5836 Hillsboro Pike,6242 Hillsboro Pike,2010,34,9023.92134507814
206,BL,Complete,Harding Pk/Hwy 70 S,Percy Warner Blvd,Old Harding Pike,2013,23,595.737235662593
207,SSR,Complete,Percy Warner Blvd,Harding Pike,Vaughns Gap Rd,2012,23,5841.65800389341
208,BL,Complete,Charlotte Pike,River Rd,I-40,2015,"20, 22, 23, 35",2430.06423481369
209,BL,Complete,Charlotte Pike,Sawyer Brown Rd,River Rd,2015,"22, 35",7687.77774974825
210,SSR,Complete,Hwy 100,Old Hickory Blvd,Harding Pike,2012,"23, 34",17081.4890083825
211,SSR,Complete,Vaughns Gap Rd,Percy Warner Blvd,Hwy 100,2012,"23, 34",1390.34814021512
212,SSR,Complete,Hwy 100,Temple Rd,Old Hickory Blvd,2012,"34, 35",15154.0123510753
213,BL,Complete,Hwy 100,Old Harding Pike,Collins Rd,2015,35,8440.68475032068
214,BL,Complete,Hwy 100,County Line,Old Harding Pike,2015,35,21012.5686191826
