OBJECTID,Bikeway Type,Status,On Street Name,From Street Name,To Street Name,Year Completed,District,Shape__Length
348,PBL,Complete,Alta Loma Rd,CSX Bridge,Gallatin Pike,2025,10,1630.38062971317
349,BL,Complete,Timber Valley Dr,E Lake Dr,S Timber Dr,2012,13,1596.78538993785
350,SSR,Complete,Timber Valley Dr,Elm Hill Pike,E Lake Dr,2012,13,222.612572777998
351,BL,Complete,Hillsboro Pike,Harding Pl,Hemingway Dr,2010,"25, 34",4823.68654128555
352,BL,Complete,Hillsboro Pike,Hemingway Dr,5836 Hillsboro Pike,2010,34,2501.38129448517
353,SSR,Complete,Hillsboro Pike,6242 Hillsboro Pike,County Line,2010,34,3811.05785505087
354,BL,Complete,Annex Ave,I-40,Mall Entrance,2012,20,679.079190868733
355,BL,Complete,Charlotte Pike,Westboro Dr,5845 Charlotte Pike N,2015,20,2454.68543114861
356,BL,Complete,Charlotte Ave,46th Ave N,45th Ave N,2021,24,384.847965792839
357,BBL,Complete,Charlotte Ave,45th Ave N,42nd Ave N,2021,24,1137.85807066134
358,BL,Complete,Charlotte Ave,42nd Ave N,38th Ave N,2021,24,2025.09801952933
359,BBL,Complete,Charlotte Ave,38th Ave N,33rd Ave N,2021,"21, 24",1977.25536351663
360,BL,Complete,Charlotte Ave,28th Ave N,26th Ave N,2011,21,810.892526697816
361,BL,Complete,Charlotte Ave,16th Ave N,15th Ave N,2015,"19, 21",286.057833838267
362,SSR,Complete,16th Ave N,Capitol Pt,Charlotte Ave,2011,"19, 21",318.782586978715
363,BL,Complete,Harrison St,10th Ave N,W of Rosa L Parks Blvd,2011,19,700.034930923884
364,SSR,Complete,24th Ave S,Fairfax Ave,Blair Blvd,2012,18,1368.23533466916
365,BL,Complete,24th Ave S,Blakemore Ave,Fairfax Ave,2015,18,1260.4641325031
366,BBL,Complete,South St,Music Sq E,8th Ave S,2016,"17, 19",3943.83201772999
367,BL,Complete,Gallatin Pike,Hart Ln,W Kirkland Ave,2016,"07, 08",1292.71192610218
368,BL,Complete,Hearthstone Ln,Trousdale Dr,Old Hickory Blvd,2016,04,1665.12975240761
369,SSR,Complete,Old Hickory Blvd,Hermitage Woods Dr,Central Pike,2011,"12, 14",1478.51899992681
370,BL,Complete,Brook View Estates Dr,Ocala Dr,Benzing Rd,2016,"30, 31",2351.11033744442
371,BBL,Complete,Brook View Estates Dr,Benzing Rd,Bell Rd,2016,31,550.400675407999
372,BL,Complete,Blackwood Dr,Fitzpatrick Rd,3216 Blackwood Dr,2017,13,2613.4247741799
373,BL,Complete,Rice Rd,Edge O Lake Dr,Rural Hill Rd,2017,"28, 32",2771.90482205427
374,BL,Complete,Shelby Ave,S 11th St,S 14th St,2016,06,1185.05486156226
375,BL,Complete,Division St,Round-about,19th Ave S,2016,19,1544.23235890594
376,BL,Complete,51st Ave N,Wyoming Ave,Nebraska Ave,2016,24,778.497955513096
377,SSR,Complete,Hickoryview Dr,Hickory View Apt,Nolensville Pike,2016,27,1215.65948420982
378,SSR,Complete,Hamilton Ave,8th Ave S,Martin St,2016,17,2568.59736221382
379,WOL,Complete,Bowling Ave,Whitworth Blvd,Woodlawn Dr,2010,24,1842.78899349634
380,BBL,Complete,Bowling Ave,West End Ave,Whitworth Blvd,2017,24,2089.31582381682
381,BL,Complete,Edge O Lake Dr,Murfreesboro Pike,Pebble Creek Dr,2017,"28, 29, 32",3528.50862636843
382,BL,Complete,Hickory Park Dr,Sycamore Ct,N of Rivendell Ct,2017,32,1532.60379959621
383,BBL,Complete,Hickory Park Dr,N of Rivendell Ct,Shire Dr,2017,32,1538.06693068634
384,SSR,Complete,Hickory Park Dr,Bell Rd,Sycamore Ct,2017,32,1273.86826190153
385,SSR,Complete,Division St,Lyle Ave,19th Ave S,2016,19,370.763505990523
386,SSR,Complete,Hickory Park Dr,Shire Dr,Dead End,2017,32,809.887386626849
387,BBL,Complete,Pebble Creek Dr,Canyon Ridge Ct,Edge O Lake Dr,2017,32,692.412186256536
388,SSR,Complete,Blackwood Dr,3216 Blackwood Dr,Bell Rd,2017,"13, 14",1360.40201137331
389,BL,Complete,Nolensville Pike,Polk Ave,I-440 Ramp,2017,17,2412.4180075696
390,PBL,Complete,Nolensville Pike,McNally Dr,Elysian Fields Rd,2017,"16, 26",2940.35168517122
391,PBL,Complete,11th Ave S,Broadway,Laurel St,2015,19,1227.47259611343
392,SSR,Complete,11th Ave N,Charlotte Ave,Church St,2015,19,1151.11509710731
393,PBL,Complete,11th Ave N,Church St,Broadway,2015,19,1090.40503216857
394,SSR,Complete,Park Ave,46th Ave N,42nd Ave N,2013,24,1528.83540824471
395,SSR,Complete,42nd Ave N,Charlotte Ave,Park Ave,2013,24,405.962667640213
396,PBL,Complete,Division St/Ash St,8th Ave S,Lafayette St,2017,19,2323.15847800581
397,SSR,Complete,Division St/Ash St,Lafayette St,2nd Ave S,2017,19,875.171483451647
398,PBL,Complete,16th Ave S / Music Sq E,Division St,Wedgewood Ave,2017,"17, 18, 19",5880.44009321757
399,PBL,Complete,17th Ave S / Music Sq W,Division St,18th Ave S,2017,"17, 18, 19",6212.36338865104
400,PBL,Complete,Magnolia Blvd,21st Ave S,18th Ave S,2017,18,1278.33803013552
401,PBL,Complete,Magnolia Blvd,16th Ave S,18th Ave S,2017,"17, 18",1130.65061773936
402,BBL,Complete,18th Ave S,Magnolia Blvd,Portland Ave,2017,18,934.557676315089
403,BL,Complete,Horton Ave,18th Ave S,16th Ave S,2017,17,757.531377729347
404,BL,Complete,Greenfield Ave,Katherine St,Golf St,2017,07,1503.60359689471
405,PBL,Complete,Greenfield Ave,Gallatin Pike,Walgreens driveway,2024,07,375.032942519621
406,SSR,Complete,Greenfield Ave,Walgreens driveway,Katherine St,2017,07,1000.21180811229
407,BL,Complete,Natchez Trc,Westwood Ave,Woodlawn Dr,2015,18,428.518348744363
408,BBL,Complete,Gallatin Pike,Walton Ln,Briley Pkwy,2017,"07, 08",1376.44430628442
409,BL,Complete,Gallatin Pike,Due West Ave,Lakewood Dr,2017,"07, 08",1421.85555350807
410,BL,Complete,Gallatin Pike,Neelys Bend Rd,E Webster St,2017,"07, 08",1812.13099280039
411,PBL,Complete,10th Ave S,S Douglas Ave,959 Aly,2018,17,3169.11468598753
412,BL,Complete,10th Ave S,Acklen Ave,S Douglas Ave,2018,17,1117.52685503425
413,BL,Complete,10th Ave S,959 Aly,Kirkwood Ave,2018,17,801.777998022755
414,SSR,Complete,Portland Ave,21st Ave S,18th Ave S,2005,18,1200.30042063363
415,BL,Complete,12th Ave N,Jefferson St,Jo Johnston Ave,2019,19,3099.26055252708
416,BL,Complete,Walton Ln,Saunders Ave,Gallatin Pike,2019,"07, 08",2350.60068426746
417,PBL,Complete,Riverside Dr,Golf St,Huntleigh Dr,2019,"06, 07",14259.8577179603
418,PBL,Complete,Arthur Ave,Buchanan St,Monroe St,2020,"19, 21",3265.82017562247
419,SSR,Complete,Glen Echo Rd,Hillsboro Pike,Hillmont Dr,2019,25,1330.12031458392
420,BL,Complete,Glen Echo Rd,Hillmont Dr,Belmont Blvd,2019,25,2139.46596766983
421,BL,Complete,Porter Rd,Riverside Dr,McKennie Ave,2006,"06, 07",2682.82654061862
422,BBL,Complete,Porter Rd,Rosebank Ave,Franklin Ave,2020,"06, 07",1644.45117780674
423,PBL,Complete,Division St,12th Ave S,8th Ave S,2020,19,1661.83471010191
424,BL,Completed,Nolensville Pike,Old Hickory Blvd,Hickoryview Dr,2018,"04, 27",1241.75950531003
425,BL,Complete,S 19th St,Holly St,Russell St,2020,06,381.141303421222
426,BL,Complete,Mountain Springs Rd,Summercrest Trl,Murfreesboro Pike,2019,"32, 33",2794.61075222083
427,BL,Complete,Garfield St,7th Ave N,5th Ave N,2021,19,857.248260946445
428,PBL,Complete,Garfield St,5th Ave N,3rd Ave N,2021,19,834.556636785856
429,SSR,Complete,Dr Db Todd Jr Blvd,Morena St,Albion St,2021,"19, 21",391.088383417586
430,BL,Complete,Belmont Blvd,18th Ave S,Ashwood Ave,2005,18,1908.09090571852
431,PBL,Complete,Division St,Music Row Roundabout,233 Alley,2020,19,914.498574725247
432,BL,Complete,Division St,233 Alley,Pine St,2020,19,252.859996057341
433,BBL,Complete,Division St,Pine St,1201 Division St,2020,19,722.814231178479
434,BL,Complete,Division St,1201 Division St,12th Ave S,2020,19,220.332465266613
435,PBL,Complete,Porter Rd,Franklin Ave,Eastland Ave,2020,"06, 07",508.123034999201
436,PBL,Complete,Porter Rd,Greenwood Ave,Rosebank Ave,2020,"06, 07",499.486449592587
437,BL,Complete,Porter Rd,McKennie Ave,Greenwood Ave,2020,"06, 07",449.115331219839
438,BBL,Completed,28th Ave N,Charlotte Ave,Felicia St,2021,21,394.450148832366
439,BL,Completed,28th Ave N,Felicia St,Herman St,2021,21,2457.0175613779
440,PBL,Completed,28th Ave N,Albion St,Clarksville Pike,2021,21,9134.89417326455
441,SSR,Complete,Charlotte Ave,54th Ave N,51st Ave N,2006,24,1531.68808506337
442,BL,Complete,Charlotte Ave,51st Ave N,50th Ave N,2021,24,400.200303038992
443,SSR,Complete,Charlotte Ave,31st Ave N/City Ave,28th Ave N,2011,"21, 24",804.4096586172
444,PBL,Completed,E Trinity Ln,Dickerson Pike,Pittway Dr,2022,05,5146.32684337778
445,BBL,Completed,E Trinity Ln,Keeling Ave,Casper Ave,2022,"05, 07",966.058373070021
446,BL,Completed,E Trinity Ln,Pittway Dr,Keeling Ave,2022,05,2020.55415208054
447,SSR,Completed,E Trinity Ln,Casper Ave,Gallatin Pike,2022,"05, 07",786.403774624087
448,BL,Completed,Jonquil Dr,Harding Pk,Paragon Mills Rd,2022,26,3034.31137838675
449,BL,Complete,Cahal Ave,Scott Ave,Porter Rd,2022,07,2357.90816494813
450,BL,Completed,Nesbitt Ln,Heritage Dr,Gallatin Pike,2022,"08, 09",2575.58705439156
451,PBL,Completed,Heritage Dr,Old Hickory Blvd,Nesbitt Ln,2022,08,4494.33058795247
452,BL,Completed,Lindsley Ave,3rd Ave S,2nd Ave S,2022,19,325.887754599137
453,BL,Completed,3rd Ave S,Lindsley Ave,Ash St,2022,19,346.961121058082
454,PBL,Completed,Monroe St,11th Ave N,10th Ave N,2022,19,1233.45218574119
455,BL,Completed,Monroe St,10th Ave N,9th Ave N,2022,19,472.947047921521
456,PBL,Completed,Monroe St,9th Ave N,Rosa L Parks Blvd,2022,19,350.002256040726
457,SSR,Completed,Monroe St,5th Ave N,1st Ave N,2022,19,1613.54465604914
458,SSR,Completed,Dr Martin Luther King Jr Blvd,Rosa L Parks Blvd,5th Ave N,2022,19,1233.99121367878
459,BL,Completed,Dr Martin Luther King Jr Blvd,12th Ave N,N Gulch Greenway,2022,19,914.635287239113
460,PBL,Completed,Dr Martin Luther King Jr Blvd,George L Davis Blvd,12th Ave N,2022,19,309.313882536798
461,BL,Completed,Dr Martin Luther King Jr Blvd,Rosa L Parks Blvd,Rosa L Parks Blvd,2022,19,206.293670834101
462,PBL,Completed,Dr Martin Luther King Jr Blvd,10th Ave N,Rosa L Parks Blvd,2022,19,520.340699901276
463,PBL,Completed,Dr Martin Luther King Jr Blvd,N Gulch Greenway,10th Ave N,2022,19,420.330564686698
464,PBL,Completed,Freelands Station Rd,Cumberland River Greenway,Mainstream Dr,2020,02,2090.92115954137
465,PBL,Completed,Wedgewood Ave,Rains Ave,Craighead St,2022,17,1791.58648209164
466,BL,Completed,3rd Ave N,Monroe St,Van Buren St,,19,1392.97850648731
467,BBL,Completed,28th Ave N,Herman St,I-40E Ramp,2021,21,542.621538819632
468,BL,Completed,28th Ave N,I-40E Ramp,Albion St,2021,21,422.511635711011
469,SSR,Completed,49th Ave N,Indiana Ave,Centennial Blvd,2023,20,2188.84433755831
470,PBL,Completed,Georgia Ave,Delray Dr,51st Ave N,2023,20,1476.91120449936
471,SSR,Completed,Indiana Ave,52nd Ave N,49th Ave N,2023,20,1153.73896478367
472,SSR,Completed,52nd Ave N,Georgia Ave,Kentucky Ave,2023,20,1219.62208717984
473,SSR,Completed,Kentucky Ave,52nd Ave N,49th ave N,2023,20,1162.52424902769
474,PBL,Completed,Hill Rd/San Marcos Dr,Hill Road Cir,Broadwell Dr,2017,26,2454.9118468298
475,SSR,Completed,Nall Ave,Deal Ave,Robertson Ave,2023,20,467.880138195176
476,BL,Completed,Gale Ln,975' SW of 8th Ave S,8th Ave S,2024,"17, 18",1011.22726177337
477,SSR,Completed,Church St,Rosa L Parks Ave,2nd Ave N,2024,19,2332.21395985577
478,SSR,Completed,Poston Ave,31st Ave N,27th Ave N,2024,21,1424.49125328812
479,SSR,Completed,31st Ave N,Hedrick St,West End Ave,2011,21,414.775090402985
480,SSR,Completed,Bixler Ave,Dupont Ave,Anderson Ln,2024,09,2511.00638198042
481,SSR,Completed,Dupont Ave,Gallatin Pike,Madison Park Parking Lot,2024,09,2496.8274913024
482,BL,Completed,Monroe St,Rosa L Parks Blvd,5th Ave N,2022,19,1204.17042259798
483,BL,Completed,Brick Church Pike,Masonwood Dr,Village Trl,2024,3,1964.88413330244
484,PBL,Completed,Apache Trail,Shihmen Dr,Haywood Ln,2024,"33, 27, 30",6938.27571082139
485,PBL,Completed,Bart Dr/Coleridge Dr,Tusculum Rd,Shihmen Dr,2024,"27, 33",6042.76951862258
486,PBL,Complete,South St,Music Sq E,8th Ave S,2024,"17, 19",3943.83201772999
487,SSR,Completed,Cunniff Pkwy,Dickerson Pike,W Campbell Rd,2024,3,4612.52406370815
488,BL,Completed,Welshwood Dr,Corning Dr,Nolensville Pike,2024,26,1558.77692094958
489,SSR,Completed,Douglas Ave,N 12th St,Scott Ave,2024,06,2998.07813062998
490,PBL,Completed,Douglas Ave,Gallatin Ave,N 12th St,2024,"05, 06",334.806218516033
491,BL,Completed,Clarksville Pike,Briley Pkwy,Ashland City Hwy,2024,"01, 02",11313.3222788428
492,BL,Completed,Nolensville Pike,Swiss Ave,Old Hickory Blvd,2018,"04, 27",1069.44219263271
